subject,predicate,object,source
http://purl.obolibrary.org/obo/HP_0030372,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030373,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030374,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030375,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030376,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030377,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030378,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030379,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030380,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030381,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030383,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
