phenotype_iri,phenotype_label,as_child,ct
http://purl.obolibrary.org/obo/HP_0000218,High palate,http://purl.obolibrary.org/obo/UBERON_0001716,
http://purl.obolibrary.org/obo/HP_0000219,Thin upper lip vermilion,http://purl.obolibrary.org/obo/UBERON_0001834,
http://purl.obolibrary.org/obo/HP_0000221,Furrowed tongue,http://purl.obolibrary.org/obo/UBERON_0001723,
http://purl.obolibrary.org/obo/HP_0000222,Gingival hyperkeratosis,http://purl.obolibrary.org/obo/UBERON_0001828,
http://purl.obolibrary.org/obo/HP_0000225,Gingival bleeding,http://purl.obolibrary.org/obo/UBERON_0001828,
http://purl.obolibrary.org/obo/HP_0000227,Tongue telangiectasia,http://purl.obolibrary.org/obo/UBERON_0001723,
http://purl.obolibrary.org/obo/HP_0000230,Gingivitis,http://purl.obolibrary.org/obo/UBERON_0001828,
http://purl.obolibrary.org/obo/HP_0000232,Everted lower lip vermilion,http://purl.obolibrary.org/obo/UBERON_0001835,
http://purl.obolibrary.org/obo/HP_0000234,Abnormality of the head,http://purl.obolibrary.org/obo/UBERON_0000033,
http://purl.obolibrary.org/obo/HP_0000236,Abnormal anterior fontanelle morphology,http://purl.obolibrary.org/obo/UBERON_0002510,
http://purl.obolibrary.org/obo/HP_0000237,Small anterior fontanelle,http://purl.obolibrary.org/obo/UBERON_0002510,
http://purl.obolibrary.org/obo/HP_0000238,Hydrocephalus,http://purl.obolibrary.org/obo/UBERON_0004086,
http://purl.obolibrary.org/obo/HP_0000239,Large fontanelles,http://purl.obolibrary.org/obo/UBERON_0002221,
http://purl.obolibrary.org/obo/HP_0000240,Abnormality of skull size,http://purl.obolibrary.org/obo/UBERON_0003129,
http://purl.obolibrary.org/obo/HP_0000242,Parietal bossing,http://purl.obolibrary.org/obo/UBERON_0000210,
http://purl.obolibrary.org/obo/HP_0000243,Trigonocephaly,http://purl.obolibrary.org/obo/UBERON_0000033,
http://purl.obolibrary.org/obo/HP_0000245,Abnormal paranasal sinus morphology,http://purl.obolibrary.org/obo/UBERON_0001825,
http://purl.obolibrary.org/obo/HP_0000246,Sinusitis,http://purl.obolibrary.org/obo/UBERON_0001825,
http://purl.obolibrary.org/obo/HP_0000248,Brachycephaly,http://purl.obolibrary.org/obo/UBERON_0000033,
http://purl.obolibrary.org/obo/HP_0000250,Dense calvaria,http://purl.obolibrary.org/obo/UBERON_0004339,
http://purl.obolibrary.org/obo/HP_0000253,Progressive microcephaly,http://purl.obolibrary.org/obo/UBERON_0000033,
http://purl.obolibrary.org/obo/HP_0000260,Wide anterior fontanel,http://purl.obolibrary.org/obo/UBERON_0002510,
http://purl.obolibrary.org/obo/HP_0000264,Abnormal mastoid morphology,http://purl.obolibrary.org/obo/UBERON_0011220,
http://purl.obolibrary.org/obo/HP_0000265,Mastoiditis,http://purl.obolibrary.org/obo/UBERON_0011220,
http://purl.obolibrary.org/obo/HP_0000267,Cranial asymmetry,http://purl.obolibrary.org/obo/UBERON_0003129,
http://purl.obolibrary.org/obo/HP_0000268,Dolichocephaly,http://purl.obolibrary.org/obo/UBERON_0000033,
http://purl.obolibrary.org/obo/HP_0000269,Prominent occiput,http://purl.obolibrary.org/obo/UBERON_0001676,
http://purl.obolibrary.org/obo/HP_0000270,Delayed cranial suture closure,http://purl.obolibrary.org/obo/UBERON_0002221,
http://purl.obolibrary.org/obo/HP_0000271,Abnormality of the face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000272,Malar flattening,http://purl.obolibrary.org/obo/UBERON_0002500,
http://purl.obolibrary.org/obo/HP_0000274,Small face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000275,Narrow face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000276,Long face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000277,Abnormal mandible morphology,http://purl.obolibrary.org/obo/UBERON_0001684,
http://purl.obolibrary.org/obo/HP_0000278,Retrognathia,http://purl.obolibrary.org/obo/UBERON_0001684,
http://purl.obolibrary.org/obo/HP_0000280,Coarse facial features,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000282,Facial edema,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000283,Broad face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000286,Epicanthus,http://purl.obolibrary.org/obo/UBERON_0013766,
http://purl.obolibrary.org/obo/HP_0000287,Increased facial adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,
http://purl.obolibrary.org/obo/HP_0000288,Abnormality of the philtrum,http://purl.obolibrary.org/obo/UBERON_0005402,
http://purl.obolibrary.org/obo/HP_0000289,Broad philtrum,http://purl.obolibrary.org/obo/UBERON_0005402,
http://purl.obolibrary.org/obo/HP_0000290,Abnormal forehead morphology,http://purl.obolibrary.org/obo/UBERON_0008200,
http://purl.obolibrary.org/obo/HP_0000291,Abnormality of facial adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,
http://purl.obolibrary.org/obo/HP_0000292,Loss of facial adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000292,Loss of facial adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,
http://purl.obolibrary.org/obo/HP_0000293,Full cheeks,http://purl.obolibrary.org/obo/UBERON_0001567,
http://purl.obolibrary.org/obo/HP_0000297,Facial hypotonia,http://purl.obolibrary.org/obo/UBERON_0001577,
http://purl.obolibrary.org/obo/HP_0000300,Oval face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000301,Abnormality of facial musculature,http://purl.obolibrary.org/obo/UBERON_0001577,
http://purl.obolibrary.org/obo/HP_0000303,Mandibular prognathia,http://purl.obolibrary.org/obo/UBERON_0001684,
http://purl.obolibrary.org/obo/HP_0000306,Abnormality of the chin,http://purl.obolibrary.org/obo/UBERON_0008199,
http://purl.obolibrary.org/obo/HP_0000307,Pointed chin,http://purl.obolibrary.org/obo/UBERON_0008199,
http://purl.obolibrary.org/obo/HP_0000309,Abnormal midface morphology,http://purl.obolibrary.org/obo/UBERON_0004089,
http://purl.obolibrary.org/obo/HP_0000311,Round face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000315,Abnormality of the orbital region,http://purl.obolibrary.org/obo/UBERON_0004088,
http://purl.obolibrary.org/obo/HP_0000316,Hypertelorism,http://purl.obolibrary.org/obo/UBERON_0010222,
http://purl.obolibrary.org/obo/HP_0000317,Facial myokymia,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000319,Smooth philtrum,http://purl.obolibrary.org/obo/UBERON_0005402,
http://purl.obolibrary.org/obo/HP_0000321,Square face,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000322,Short philtrum,http://purl.obolibrary.org/obo/UBERON_0005402,
http://purl.obolibrary.org/obo/HP_0000324,Facial asymmetry,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000326,Abnormal maxilla morphology,http://purl.obolibrary.org/obo/UBERON_0004089,
http://purl.obolibrary.org/obo/HP_0000326,Abnormal maxilla morphology,http://purl.obolibrary.org/obo/UBERON_0000165,
http://purl.obolibrary.org/obo/HP_0000326,Abnormal maxilla morphology,http://purl.obolibrary.org/obo/UBERON_0002397,
http://purl.obolibrary.org/obo/HP_0000327,Hypoplasia of the maxilla,http://purl.obolibrary.org/obo/UBERON_0002397,
http://purl.obolibrary.org/obo/HP_0000329,Facial hemangioma,http://purl.obolibrary.org/obo/UBERON_0001456,
http://purl.obolibrary.org/obo/HP_0000331,Short chin,http://purl.obolibrary.org/obo/UBERON_0008199,
http://purl.obolibrary.org/obo/HP_0000337,Broad forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
http://purl.obolibrary.org/obo/HP_0000340,Sloping forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
http://purl.obolibrary.org/obo/HP_0000341,Narrow forehead,http://purl.obolibrary.org/obo/UBERON_0008200,
http://purl.obolibrary.org/obo/HP_0000343,Long philtrum,http://purl.obolibrary.org/obo/UBERON_0005402,
http://purl.obolibrary.org/obo/HP_0000347,Micrognathia,http://purl.obolibrary.org/obo/UBERON_0001684,
