id	subject	predicate	object	category	agent_type	gene_expr	knowledge_level	knowledge_source	primary_knowledge_source	source
urn:uuid:2993a6ac-a6ee-4278-968e-2fe01d5c2d53	CL:0000084	biolink:located_in	UBERON:0002189	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:bdcecac2-7f4f-4f3d-be00-038e9b7fdb60	CL:0000084	biolink:located_in	UBERON:0002015	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:335d8475-e41e-4107-9596-4452420dca84	CL:0000084	biolink:located_in	UBERON:0001284	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:5d9f0a2b-a14a-4973-97b6-0c532183aa3b	CL:0000097	biolink:has_phenotype	HP:0100494	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:05d5362c-2124-42c4-99d5-7d2cefd3401b	CL:0000097	biolink:has_phenotype	HP:0100495	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:be4975e7-f297-4717-8307-7117de6d84dc	CL:0000097	biolink:located_in	UBERON:0005215	biolink:CellToAnatomicalEntityAssociation	manual_agent		knowledge_assertion	hra-asctb-kidney-edges.csv	https://purl.humanatlas.io/collection/hra	
urn:uuid:efea304f-a0df-414d-b777-117a2f0ed430	CL:0000097	biolink:located_in	UBERON:0004200	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:d6b1685b-f978-4e57-92b7-b024294777b7	CL:0000097	biolink:located_in	UBERON:0001228	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:ef7477bf-f5e4-4f96-bca9-456444b18976	CL:0000097	biolink:located_in	UBERON:0001284	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:8caf4367-0c44-4b7e-a557-444b108703f2	CL:0000097	biolink:located_in	UBERON:0002113	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:a255153d-4c72-43b5-9d04-457e74704137	CL:0000097	biolink:located_in	UBERON:0002015	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:f37a2419-b6a0-46bd-82e2-dca6bbb4f434	CL:0000097	biolink:located_in	UBERON:0002189	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:e8b55631-98d6-4265-9c79-d83ffd9d8856	CL:0000236	biolink:has_phenotype	HP:0002846	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:095e6fe6-4cb9-41a7-b3b3-cc1792b12830	CL:0000236	biolink:has_phenotype	HP:0005372	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:aaa0d01f-0c10-4926-a7f3-25aae47d41c9	CL:0000236	biolink:has_phenotype	HP:0005404	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:b4d73ea3-b760-4466-982e-7feb0508f28b	CL:0000236	biolink:has_phenotype	HP:0005365	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
